h3_cell,CreationDate,when_did_you_lose_water,when_did_you_regain_water,to_what_extent_did_you_lose_wat
892a8d9a417ffff,2025-01-08T22:33:01+00:00,2025-01-06T21:00:00+00:00,2025-01-08T22:32:00+00:00,
892a8d9a27bffff,2025-01-08T22:36:18+00:00,2025-01-06T20:30:00+00:00,2025-01-08T21:45:00+00:00,
892a8d9a39bffff,2025-01-08T22:36:29+00:00,2025-01-06T20:30:00+00:00,,
892a8d9823bffff,2025-01-08T22:36:52+00:00,2025-01-07T01:00:00+00:00,2025-01-08T12:00:00+00:00,
892a8d9a6abffff,2025-01-08T22:37:01+00:00,2025-01-06T22:00:00+00:00,,
892a8d9a667ffff,2025-01-08T22:37:02+00:00,2025-01-06T22:36:00+00:00,,
892a8d9acc3ffff,2025-01-08T22:37:11+00:00,2025-01-06T21:00:00+00:00,,
892a8d9b567ffff,2025-01-08T22:37:21+00:00,2025-01-06T22:36:00+00:00,2025-01-08T22:36:00+00:00,
892a8d98493ffff,2025-01-08T22:37:53+00:00,2025-01-06T20:00:00+00:00,,
892a8d9a2d3ffff,2025-01-08T22:38:01+00:00,2025-01-06T21:00:00+00:00,,
892a8d9a22fffff,2025-01-08T22:38:13+00:00,2025-01-06T21:00:00+00:00,,
892a8d9a22fffff,2025-01-08T22:38:28+00:00,2025-01-06T21:00:00+00:00,,
892a8d9a2cbffff,2025-01-08T22:38:39+00:00,2025-01-06T20:00:00+00:00,2025-01-08T21:30:00+00:00,
892a8d9a20fffff,2025-01-08T22:38:44+00:00,2025-01-06T18:38:00+00:00,,
892aab6592bffff,2025-01-08T22:38:51+00:00,2025-01-06T20:30:00+00:00,2025-01-08T22:38:00+00:00,
892a8d9a34fffff,2025-01-08T22:39:17+00:00,2025-01-06T20:30:00+00:00,2025-01-08T21:00:00+00:00,
892a8d9a3c7ffff,2025-01-08T22:39:33+00:00,2025-01-06T20:58:00+00:00,,
892a8d9a26bffff,2025-01-08T22:40:19+00:00,2025-01-06T19:40:00+00:00,,
892a8d9a20bffff,2025-01-08T22:40:24+00:00,2025-01-06T20:30:00+00:00,,Fully lost water
892a8d9a203ffff,2025-01-08T22:40:36+00:00,2025-01-07T01:00:00+00:00,2025-01-08T20:00:00+00:00,
892a8d9a35bffff,2025-01-08T22:41:01+00:00,2025-01-06T22:30:00+00:00,,
892a8d9a34fffff,2025-01-08T22:41:02+00:00,2025-01-07T01:40:00+00:00,2025-01-08T20:30:00+00:00,
892a8d9a263ffff,2025-01-08T22:41:06+00:00,2025-01-06T21:00:00+00:00,2025-01-08T22:00:00+00:00,
892a8d9a3c3ffff,2025-01-08T22:41:14+00:00,2025-01-06T14:00:00+00:00,2025-01-08T22:30:00+00:00,
892a8d9a06fffff,2025-01-08T22:41:16+00:00,2025-01-06T20:30:00+00:00,,
892a8d9acc3ffff,2025-01-08T22:41:51+00:00,2025-01-06T22:30:00+00:00,2025-01-08T22:00:00+00:00,
892a8d9a2dbffff,2025-01-08T22:41:55+00:00,2025-01-06T21:00:00+00:00,,
892a8d9a4bbffff,2025-01-08T22:42:04+00:00,2025-01-08T12:30:00+00:00,,
892a8d9ac5bffff,2025-01-08T22:42:37+00:00,,,"Not at all, flow was normal"
892a8d9a207ffff,2025-01-08T22:42:38+00:00,2025-01-06T19:30:00+00:00,,
892a8d9a3cbffff,2025-01-08T22:42:40+00:00,2025-01-06T20:00:00+00:00,2025-01-08T20:45:00+00:00,
892a8d9a2c7ffff,2025-01-08T22:42:48+00:00,2025-01-06T22:42:00+00:00,,
892a8d9a14bffff,2025-01-08T22:43:06+00:00,2025-01-06T23:00:00+00:00,,Fully lost water
892a8d9b327ffff,2025-01-08T22:43:44+00:00,2025-01-06T21:00:00+00:00,,
892a8d9a3d3ffff,2025-01-08T22:44:00+00:00,2025-01-05T22:43:00+00:00,,
892a8d9b08bffff,2025-01-08T22:44:13+00:00,2025-01-06T20:00:00+00:00,,
892a8d9a247ffff,2025-01-08T22:44:20+00:00,2025-01-06T20:30:00+00:00,,
892a8d9a28bffff,2025-01-08T22:44:20+00:00,2025-01-06T20:45:00+00:00,,
892a8d9b573ffff,2025-01-08T22:44:49+00:00,2025-01-06T23:45:00+00:00,2025-01-08T08:00:00+00:00,
892a8d9a257ffff,2025-01-08T22:44:56+00:00,2025-01-06T22:43:00+00:00,,
892a8d9a39bffff,2025-01-08T22:45:04+00:00,2025-01-06T21:00:00+00:00,2025-01-08T22:00:00+00:00,
892a8d9a207ffff,2025-01-08T22:45:06+00:00,2025-01-05T22:44:00+00:00,,
892a8d9a20bffff,2025-01-08T22:45:31+00:00,2025-01-06T21:00:00+00:00,2025-01-08T21:45:00+00:00,
892a8d9a06fffff,2025-01-08T22:45:47+00:00,2025-01-06T06:00:00+00:00,,
892a8d9acc7ffff,2025-01-08T22:45:50+00:00,2025-01-06T23:30:00+00:00,2025-01-08T21:00:00+00:00,
892a8d9a257ffff,2025-01-08T22:46:00+00:00,2025-01-06T22:45:00+00:00,2025-01-08T20:40:00+00:00,
892a8d9a037ffff,2025-01-08T22:46:06+00:00,2025-01-06T21:30:00+00:00,2025-01-08T20:30:00+00:00,
892a8d9a213ffff,2025-01-08T22:46:09+00:00,2025-01-06T20:30:00+00:00,,
892a8d98493ffff,2025-01-08T22:46:18+00:00,2025-01-06T19:53:00+00:00,2025-01-08T22:44:00+00:00,Fully lost water
892a8d98297ffff,2025-01-08T22:46:25+00:00,2025-01-07T22:45:00+00:00,2025-01-08T22:45:00+00:00,
892a8d9a313ffff,2025-01-08T22:46:26+00:00,2025-01-06T20:00:00+00:00,,
892a8d9a3d3ffff,2025-01-08T22:46:37+00:00,2025-01-06T20:30:00+00:00,,Fully lost water
892a8d9a223ffff,2025-01-08T22:46:51+00:00,2025-01-06T21:00:00+00:00,2025-01-08T20:45:00+00:00,
892a8d9a29bffff,2025-01-08T22:46:59+00:00,2025-01-06T20:00:00+00:00,2025-01-08T20:30:00+00:00,
892a8d9a37bffff,2025-01-08T22:47:15+00:00,2025-01-06T21:00:00+00:00,2025-01-08T20:15:00+00:00,
892a8d9ad83ffff,2025-01-08T22:47:29+00:00,2025-01-06T21:30:00+00:00,2025-01-08T21:30:00+00:00,Down to just a trickle
892a8d9a22fffff,2025-01-08T22:47:38+00:00,2025-01-06T20:34:00+00:00,,
892a8d9a2afffff,2025-01-08T22:47:38+00:00,2025-01-06T20:30:00+00:00,,
892a8d9a277ffff,2025-01-08T22:47:46+00:00,2025-01-06T21:00:00+00:00,2025-01-08T22:32:00+00:00,
892a8d9a207ffff,2025-01-08T22:47:46+00:00,2025-01-06T21:30:00+00:00,,
892a8d9a277ffff,2025-01-08T22:47:46+00:00,2025-01-06T21:47:00+00:00,,
892a8d9a223ffff,2025-01-08T22:48:04+00:00,2025-01-06T21:00:00+00:00,2025-01-08T22:40:00+00:00,
892a8d9ae73ffff,2025-01-08T22:48:16+00:00,2025-01-07T01:09:00+00:00,,
892a8d9a2abffff,2025-01-08T22:48:18+00:00,2025-01-05T22:47:00+00:00,,
892a8d9a28fffff,2025-01-08T22:48:24+00:00,2025-01-07T07:00:00+00:00,,
892a8d9a39bffff,2025-01-08T22:48:33+00:00,2025-01-06T22:47:00+00:00,,
892a8d9ac8bffff,2025-01-08T22:49:06+00:00,2025-01-06T21:30:00+00:00,,
892a8d9a2dbffff,2025-01-08T22:49:09+00:00,2025-01-06T20:52:00+00:00,,
892a8d9a173ffff,2025-01-08T22:49:12+00:00,2025-01-06T21:30:00+00:00,,Fully lost water
892a8d9a123ffff,2025-01-08T22:49:14+00:00,2025-01-07T21:00:00+00:00,,
892a8d9ae73ffff,2025-01-08T22:49:40+00:00,2025-01-07T21:45:00+00:00,2025-01-07T21:46:00+00:00,Water pressure was reduced
892a8d9a43bffff,2025-01-08T22:49:54+00:00,2025-01-06T21:00:00+00:00,2025-01-08T20:00:00+00:00,
892a8d9ac57ffff,2025-01-08T22:50:04+00:00,2025-01-08T01:30:00+00:00,2025-01-08T11:00:00+00:00,
892a8d9a34fffff,2025-01-08T22:50:07+00:00,2025-01-07T04:00:00+00:00,,
892a8d9a267ffff,2025-01-08T22:50:28+00:00,2025-01-06T20:30:00+00:00,,
892a8d9aa53ffff,2025-01-08T22:50:55+00:00,2025-01-06T23:30:00+00:00,2025-01-08T21:50:00+00:00,
892a8d9a693ffff,2025-01-08T22:51:10+00:00,2025-01-06T20:00:00+00:00,2025-01-08T19:30:00+00:00,
892a8d9a283ffff,2025-01-08T22:51:28+00:00,2025-01-06T21:30:00+00:00,,
892a8d9a37bffff,2025-01-08T22:51:30+00:00,2025-01-07T04:50:00+00:00,2025-01-08T21:00:00+00:00,
892a8d9a3cfffff,2025-01-08T22:51:32+00:00,2025-01-06T20:30:00+00:00,,
892a8d9a21bffff,2025-01-08T22:51:55+00:00,2025-01-06T20:30:00+00:00,2025-01-08T21:00:00+00:00,
892a8d9a3afffff,2025-01-08T22:51:58+00:00,2025-01-06T20:00:00+00:00,2025-01-08T17:00:00+00:00,
892a8d9a217ffff,2025-01-08T22:52:03+00:00,2025-01-06T23:30:00+00:00,2025-01-08T21:51:00+00:00,
892a8d9a28fffff,2025-01-08T22:52:28+00:00,2025-01-06T21:00:00+00:00,,Fully lost water
892a8d9a39bffff,2025-01-08T22:52:33+00:00,2025-01-06T19:00:00+00:00,2025-01-08T22:45:00+00:00,
892a8d9a26fffff,2025-01-08T22:52:38+00:00,2025-01-06T21:30:00+00:00,,
892a8d9ad67ffff,2025-01-08T22:52:59+00:00,2025-01-07T01:00:00+00:00,,
892a8d9a22fffff,2025-01-08T22:53:04+00:00,2025-01-06T22:52:00+00:00,,
892a8d9a31bffff,2025-01-08T22:53:08+00:00,2025-01-07T16:00:00+00:00,2025-01-08T22:52:00+00:00,
892a8d9a01bffff,2025-01-08T22:53:08+00:00,2025-01-07T06:00:00+00:00,2025-01-08T20:00:00+00:00,
892a8d9a3b3ffff,2025-01-08T22:53:13+00:00,2025-01-06T21:45:00+00:00,,
892a8d9a22bffff,2025-01-08T22:53:38+00:00,2025-01-06T21:30:00+00:00,,
892a8d9a207ffff,2025-01-08T22:53:55+00:00,2025-01-06T20:30:00+00:00,,Fully lost water
892a8d9ae93ffff,2025-01-08T22:54:00+00:00,2025-01-07T17:00:00+00:00,2025-01-06T17:00:00+00:00,Down to just a trickle
892a8d9a287ffff,2025-01-08T22:54:11+00:00,,,"Not at all, flow was normal"
892a8d9a22fffff,2025-01-08T22:54:26+00:00,2025-01-06T20:40:00+00:00,2025-01-08T21:00:00+00:00,
892a8d9a3cbffff,2025-01-08T22:54:30+00:00,2025-01-06T20:00:00+00:00,,
892a8d9a207ffff,2025-01-08T22:54:38+00:00,2025-01-06T20:00:00+00:00,,
892a8d98493ffff,2025-01-08T22:54:42+00:00,2025-01-06T20:05:00+00:00,,
892a8d9a3dbffff,2025-01-08T22:54:49+00:00,2025-01-07T01:00:00+00:00,2025-01-08T21:30:00+00:00,Down to just a trickle
892a8d9a2d7ffff,2025-01-08T22:55:02+00:00,2025-01-06T21:00:00+00:00,,
892a8d9a067ffff,2025-01-08T22:55:08+00:00,2025-01-06T20:00:00+00:00,,
892a8d9a35bffff,2025-01-08T22:55:19+00:00,2025-01-06T22:53:00+00:00,,
892a8d9a263ffff,2025-01-08T22:55:23+00:00,2025-01-06T20:00:00+00:00,,
892a8d9ac93ffff,2025-01-08T22:55:23+00:00,2025-01-06T22:00:00+00:00,2025-01-08T20:40:00+00:00,Fully lost water
892a8d9a3afffff,2025-01-08T22:55:49+00:00,2025-01-06T21:32:00+00:00,,
892a8d980bbffff,2025-01-08T22:56:06+00:00,2025-01-08T04:55:00+00:00,2025-01-08T12:00:00+00:00,
892a8d9a3cbffff,2025-01-08T22:56:16+00:00,2025-01-06T19:30:00+00:00,,Fully lost water
892a8d9a683ffff,2025-01-08T22:56:28+00:00,2025-01-06T21:00:00+00:00,,
892a8d9a3cbffff,2025-01-08T22:56:41+00:00,2025-01-07T01:00:00+00:00,2025-01-08T21:00:00+00:00,
892a8d9a2d7ffff,2025-01-08T22:56:42+00:00,2025-01-06T22:56:00+00:00,,
892a8d9a22fffff,2025-01-08T22:57:10+00:00,2025-01-06T22:00:00+00:00,2025-01-08T21:45:00+00:00,
892a8d9a2abffff,2025-01-08T22:57:15+00:00,2025-01-06T20:30:00+00:00,,
892a8d9a39bffff,2025-01-08T22:57:19+00:00,2025-01-06T15:30:00+00:00,,
892a8d9aa63ffff,2025-01-08T22:57:25+00:00,2025-01-06T22:56:00+00:00,2025-01-08T15:30:00+00:00,
892a8d9a237ffff,2025-01-08T22:57:28+00:00,2025-01-06T20:15:00+00:00,,
892a8d9a3cfffff,2025-01-08T22:57:33+00:00,2025-01-06T13:00:00+00:00,,
892aab6591bffff,2025-01-08T22:58:01+00:00,2025-01-06T22:00:00+00:00,2025-01-08T20:00:00+00:00,
892a8d9a4dbffff,2025-01-08T22:58:06+00:00,2025-01-06T20:56:00+00:00,2025-01-08T16:56:00+00:00,Fully lost water
892a8d9a06fffff,2025-01-08T22:58:16+00:00,2025-01-06T20:45:00+00:00,2025-01-08T21:50:00+00:00,
892a8d9ac57ffff,2025-01-08T22:58:31+00:00,2025-01-07T20:00:00+00:00,2025-01-08T10:00:00+00:00,
892a8d9a04fffff,2025-01-08T22:58:34+00:00,2025-01-07T01:45:00+00:00,2025-01-08T21:00:00+00:00,Fully lost water
892a8d9a167ffff,2025-01-08T22:58:55+00:00,2025-01-06T22:58:00+00:00,,
892a8d9ae73ffff,2025-01-08T22:59:08+00:00,2025-01-07T17:00:00+00:00,2025-01-07T07:00:00+00:00,
892a8d9a29bffff,2025-01-08T22:59:18+00:00,2025-01-06T20:00:00+00:00,,
892a8d9ac57ffff,2025-01-08T22:59:48+00:00,2025-01-06T22:45:00+00:00,,
892a8d9a243ffff,2025-01-08T23:00:26+00:00,2025-01-06T21:00:00+00:00,2025-01-08T22:00:00+00:00,
892a8d9a343ffff,2025-01-08T23:00:29+00:00,2025-01-05T22:00:00+00:00,,
892a8d9a22bffff,2025-01-08T23:00:37+00:00,2025-01-06T23:00:00+00:00,,
892a8d91ec7ffff,2025-01-08T23:00:41+00:00,2025-01-07T12:00:00+00:00,,
892a8d9a35bffff,2025-01-08T23:00:56+00:00,2025-01-06T20:30:00+00:00,,Fully lost water
892a8d9a20bffff,2025-01-08T23:01:43+00:00,2025-01-06T22:30:00+00:00,,
892a8d9a3cbffff,2025-01-08T23:01:47+00:00,2025-01-06T22:00:00+00:00,,
892a8d9ae93ffff,2025-01-08T23:02:11+00:00,,,"Not at all, flow was normal"
892a8d9a223ffff,2025-01-08T23:03:03+00:00,2025-01-06T20:30:00+00:00,,Fully lost water
892a8d9aeabffff,2025-01-08T23:03:05+00:00,2025-01-07T23:02:00+00:00,2025-01-08T23:02:00+00:00,Water pressure was reduced
892a8d91267ffff,2025-01-08T23:03:06+00:00,2025-01-06T22:00:00+00:00,2025-01-08T20:30:00+00:00,Fully lost water
892a8d9b573ffff,2025-01-08T23:04:18+00:00,2025-01-06T23:00:00+00:00,2025-01-08T06:30:00+00:00,Fully lost water
892a8d9a06fffff,2025-01-08T23:04:19+00:00,2025-01-06T21:00:00+00:00,,Fully lost water
892aab6592fffff,2025-01-08T23:04:58+00:00,2025-01-06T23:00:00+00:00,2025-01-08T22:00:00+00:00,Fully lost water
892a8d9a2d3ffff,2025-01-08T23:05:41+00:00,2025-01-06T20:05:00+00:00,,Fully lost water
892a8d9a66fffff,2025-01-08T23:06:06+00:00,2025-01-06T21:29:00+00:00,,
892a8d995afffff,2025-01-08T23:06:42+00:00,2025-01-06T22:05:00+00:00,2025-01-11T23:05:00+00:00,Fully lost water
892a8d98493ffff,2025-01-08T23:07:15+00:00,2025-01-06T22:00:00+00:00,2025-01-08T22:06:00+00:00,Fully lost water
892aab6590bffff,2025-01-08T23:07:16+00:00,2025-01-06T22:00:00+00:00,2025-01-08T20:00:00+00:00,Fully lost water
892aab64363ffff,2025-01-08T23:07:21+00:00,,,"Not at all, flow was normal"
892a8d98197ffff,2025-01-08T23:07:24+00:00,2025-01-06T22:00:00+00:00,2025-01-08T13:00:00+00:00,Fully lost water
892a8d9a22fffff,2025-01-08T23:07:39+00:00,2025-01-06T20:00:00+00:00,,Fully lost water
892a8d984b7ffff,2025-01-08T23:07:40+00:00,2025-01-06T23:06:00+00:00,,Fully lost water
892a8d9a21bffff,2025-01-08T23:07:40+00:00,2025-01-06T22:00:00+00:00,2025-01-08T22:35:00+00:00,"Not at all, flow was normal"
892a8d99c53ffff,2025-01-08T23:07:54+00:00,,,"Not at all, flow was normal"
892a8d9a17bffff,2025-01-08T23:08:18+00:00,2025-01-06T23:06:00+00:00,,Fully lost water
892a8d9a2a3ffff,2025-01-08T23:08:41+00:00,2025-01-06T19:45:00+00:00,2025-01-08T23:08:00+00:00,Fully lost water
892a8d981cfffff,2025-01-08T23:08:44+00:00,2025-01-06T21:00:00+00:00,,Fully lost water
892aab65857ffff,2025-01-08T23:08:58+00:00,,,"Not at all, flow was normal"
892a8d9a163ffff,2025-01-08T23:09:05+00:00,2025-01-07T13:00:00+00:00,,Fully lost water
892aab6590fffff,2025-01-08T23:09:28+00:00,2025-01-07T01:00:00+00:00,2025-01-08T22:08:00+00:00,Fully lost water
892a8d9ac53ffff,2025-01-08T23:09:54+00:00,,2025-01-08T11:00:00+00:00,Water pressure was reduced
892a8d9a147ffff,2025-01-08T23:09:56+00:00,2025-01-06T23:09:00+00:00,,Fully lost water
892a8d9a27bffff,2025-01-08T23:09:57+00:00,2025-01-06T20:23:00+00:00,2025-01-08T23:08:00+00:00,Fully lost water
892aab64a5bffff,2025-01-08T23:10:12+00:00,,,"Not at all, flow was normal"
892a8d9840fffff,2025-01-08T23:10:21+00:00,2025-01-06T23:09:00+00:00,,Fully lost water
892a8d9ac2bffff,2025-01-08T23:10:48+00:00,2025-01-07T20:00:00+00:00,2025-01-08T12:30:00+00:00,Fully lost water
892a8d9a667ffff,2025-01-08T23:11:10+00:00,2025-01-06T23:00:00+00:00,,Fully lost water
892a8d9a29bffff,2025-01-08T23:11:17+00:00,2025-01-06T22:00:00+00:00,,Fully lost water
892a8d9a2c7ffff,2025-01-08T23:11:25+00:00,2025-01-07T13:30:00+00:00,2025-01-08T23:11:00+00:00,Fully lost water
892a8d9a2d3ffff,2025-01-08T23:11:25+00:00,2025-01-06T20:10:00+00:00,,Fully lost water
892a8d9a28bffff,2025-01-08T23:11:34+00:00,2025-01-06T21:00:00+00:00,,Fully lost water
892a8d9a04fffff,2025-01-08T23:12:27+00:00,2025-01-07T01:00:00+00:00,,Fully lost water
892a8d9a2c7ffff,2025-01-08T23:12:35+00:00,2025-01-06T21:00:00+00:00,,Fully lost water
892a8d9a2c3ffff,2025-01-08T23:12:39+00:00,2025-01-06T19:45:00+00:00,,Fully lost water
892a8d9ac8bffff,2025-01-08T23:12:50+00:00,2025-01-14T23:11:00+00:00,2025-01-08T12:00:00+00:00,Down to just a trickle
892a8d9a343ffff,2025-01-08T23:12:57+00:00,2025-01-06T21:00:00+00:00,,Fully lost water
892a8d9a667ffff,2025-01-08T23:13:14+00:00,2025-01-06T20:30:00+00:00,,Down to just a trickle
892a8d9a167ffff,2025-01-08T23:13:17+00:00,2025-01-07T18:00:00+00:00,2025-01-08T11:00:00+00:00,Fully lost water
892a8d9aeabffff,2025-01-08T23:13:30+00:00,,,"Not at all, flow was normal"
892a8d9a21bffff,2025-01-08T23:13:53+00:00,2025-01-06T22:00:00+00:00,2025-01-08T21:30:00+00:00,Fully lost water
892a8d9a3dbffff,2025-01-08T23:14:08+00:00,2025-01-06T20:45:00+00:00,,Fully lost water
892a8d9a343ffff,2025-01-08T23:14:48+00:00,2025-01-06T20:11:00+00:00,,Fully lost water
892a8d9aa97ffff,2025-01-08T23:14:56+00:00,,,Water pressure was reduced
892a8d9a20bffff,2025-01-08T23:15:50+00:00,2025-01-06T23:30:00+00:00,2025-01-08T21:10:00+00:00,Fully lost water
892a8d9a02bffff,2025-01-08T23:16:19+00:00,2025-01-08T04:15:00+00:00,2025-01-08T14:15:00+00:00,Down to just a trickle
892a8d9a3b3ffff,2025-01-08T23:16:30+00:00,2025-01-06T23:15:00+00:00,2025-01-08T23:15:00+00:00,Fully lost water
892a8d9a06fffff,2025-01-08T23:16:39+00:00,2025-01-06T20:45:00+00:00,,Fully lost water
892a8d9a21bffff,2025-01-08T23:17:05+00:00,2025-01-06T20:00:00+00:00,,Fully lost water
892aab6ea3bffff,2025-01-08T23:18:26+00:00,,,"Not at all, flow was normal"
892a8d9a127ffff,2025-01-08T23:18:43+00:00,,,Water pressure was reduced
892aab64b23ffff,2025-01-08T23:19:01+00:00,2025-01-06T21:00:00+00:00,,Fully lost water
892a8d9a2d3ffff,2025-01-08T23:19:14+00:00,2025-01-06T23:00:00+00:00,,Fully lost water
892a8d9a23bffff,2025-01-08T23:19:21+00:00,2025-01-06T20:00:00+00:00,,Fully lost water
892a8d9a2d3ffff,2025-01-08T23:19:21+00:00,2025-01-06T21:04:00+00:00,,Fully lost water
892a8d9a403ffff,2025-01-08T23:19:37+00:00,2025-01-06T23:00:00+00:00,,Fully lost water
892a8d9a147ffff,2025-01-08T23:19:38+00:00,2025-01-06T21:00:00+00:00,,Fully lost water
892a8d9a667ffff,2025-01-08T23:19:52+00:00,2025-01-06T20:30:00+00:00,,Fully lost water
892a8d99057ffff,2025-01-08T23:19:58+00:00,,,"Not at all, flow was normal"
892a8d9ad13ffff,2025-01-08T23:20:06+00:00,2025-01-08T03:00:00+00:00,2025-01-08T17:00:00+00:00,Fully lost water
892aab65b83ffff,2025-01-08T23:20:10+00:00,,,"Not at all, flow was normal"
892a8d9ac27ffff,2025-01-08T23:20:12+00:00,2025-01-07T15:00:00+00:00,2025-01-08T15:00:00+00:00,Water pressure was reduced
892a8d91ed7ffff,2025-01-08T23:20:44+00:00,2025-01-07T14:00:00+00:00,,Fully lost water
892a8d9a0b7ffff,2025-01-08T23:21:23+00:00,2025-01-06T19:30:00+00:00,,Water pressure was reduced
892a8d9ac13ffff,2025-01-08T23:21:28+00:00,2025-01-06T23:20:00+00:00,2025-01-08T23:21:00+00:00,Fully lost water
892a8d9ac03ffff,2025-01-08T23:21:42+00:00,2025-01-07T21:00:00+00:00,2025-01-08T17:00:00+00:00,Fully lost water
892a8d9b5afffff,2025-01-08T23:21:58+00:00,2025-01-06T20:15:00+00:00,,Fully lost water
892a8d9a28bffff,2025-01-08T23:22:02+00:00,2025-01-06T19:30:00+00:00,,Fully lost water
892a8d9a433ffff,2025-01-08T23:22:28+00:00,2025-01-06T23:30:00+00:00,2025-01-08T22:30:00+00:00,Fully lost water
892a8d9aeabffff,2025-01-08T23:22:30+00:00,,2025-01-08T11:00:00+00:00,Water pressure was reduced
892a8d9a24fffff,2025-01-08T23:23:53+00:00,2025-01-06T22:30:00+00:00,2025-01-08T23:23:00+00:00,Fully lost water
892aab6cc3bffff,2025-01-08T23:23:59+00:00,,,"Not at all, flow was normal"
892a8d9a237ffff,2025-01-08T23:24:04+00:00,2025-01-06T21:23:00+00:00,2025-01-08T22:14:00+00:00,Fully lost water
892a8d9a26fffff,2025-01-08T23:24:08+00:00,2025-01-06T20:45:00+00:00,,Fully lost water
892a8d9a233ffff,2025-01-08T23:24:35+00:00,2025-01-06T22:00:00+00:00,,Fully lost water
